Loire-Atlantique;Nantes;Quartier Est
Loire-Atlantique;Nantes;Quartiers Nord
Loire-Atlantique;Rezé;Château Mahaudières
Loire-Atlantique;Saint-Nazaire;Quartier Nord (Petit Caporal)
Loire-Atlantique;Saint-Nazaire;Quartiers Ouest : Avalix, La Boulletterie, Tréballe, La Chesnaie
Loire-Atlantique;Trignac;Certé
Loire-Atlantique;Saint-Nazaire;Méan, Penhoët
Loiret;Orléans;Argonne
Loiret;Orléans;La Source
Loiret;Saint-Jean-de-la-Ruelle;Salmonerie, Prairie, Pincevent
Loiret;Pithiviers;Quartier Nord
Loiret;Pithiviers;Saint Aignan
Lot-et-Garonne;Agen;Montanou
Lot-et-Garonne;Agen;Zone Sud Est : Cité Rodrigue, Cité Tapie, Cité Barleté
Maine-et-Loire;Angers;Belle Beille
Maine-et-Loire;Angers;Monplaisir
Maine-et-Loire;Angers;Verneau, Capucins
Maine-et-Loire;Trélazé;Les Plaines
Maine-et-Loire;Cholet;Bonnevay
Maine-et-Loire;Cholet;Bretagne, Bostangis
Maine-et-Loire;Cholet;Favreau
Maine-et-Loire;Cholet;Girardière, Turbaudières
Maine-et-Loire;Saumur;Le Chemin Vert
Maine-et-Loire;Saumur;La Croix Verte
Manche;Saint-Lô;Val Saint Jean
Manche;Cherbourg;Quartier Est, Le Maupas
Manche;Cherbourg, Octeville;Les Provinces*
Marne;Châlons-en-Champagne;Rive Gauche : Mont Saint Michel, La Bidée, Frison Gare
Marne;Châlons-en-Champagne;Schmit
Marne;Châlons-en-Champagne;Vallée Saint Pierre 
Marne;Châlons-en-Champagne;Verbeau, Alsace
Marne;Epernay;Bernon
Marne;Epernay;Vignes Blanches, Beau Soleil
Marne;Reims;Les Châtillons
Marne;Reims;Croix Rouge
Marne;Reims;Epinettes
Marne;Reims;Orgeval
Marne;Reims;Wilson
Marne;Vitry-le-François;Le Hamois
Marne;Vitry-le-François;Rome, Saint Charles, Le Désert
Haute-Marne;Saint-Dizier;Grand Lachat
Haute-Marne;Saint-Dizier;Vert Bois
Mayenne;Laval;Les Fourches
Mayenne;Laval;Les Pommeraies
Mayenne;Laval;ZUP Saint Nicolas 
Meurthe-et-Moselle;Mont-Saint-Martin;Val Saint Martin
Meurthe-et-Moselle;Toul;Croix de Metz
Meurthe-et-Moselle;Lunéville;Niederbronn, Zola
Meurthe-et-Moselle;Jarville-la-Malgrange;La Californie
Meurthe-et-Moselle;Laxou;Les Provinces
Meurthe-et-Moselle;Malzéville, Saint-Max;Jéricho, Saint Michel*
Meurthe-et-Moselle;Laxou, Maxéville, Nancy;Champ le Boeuf*, Les Aulnes*, Le Haut du Lièvre*
Meurthe-et-Moselle;Tomblaine;Jartom
Meurthe-et-Moselle;Vandoeuvre-lès-Nancy;Les Nations
Meuse;Verdun;Cité Verte
Meuse;Verdun;Les Planchettes
Morbihan;Lanester;Chantiers République
Morbihan;Lorient;Bois du Château
Morbihan;Lorient;Kervénanec
Morbihan;Lorient;Polygône, Frébault
Morbihan;Vannes;Kercado
Morbihan;Vannes;Ménimur
Moselle;Creutzwald;Breckelberg, Fatima, Garang
Moselle;Creutzwald;Cité Maroc
Moselle;Folschviller, Valmont;Cité du Furst*
Moselle;Moyeuvre-Grande;Froidcul
Moselle;Saint-Avold;La Carrière, Le Wenheck
Moselle;Sarreguemines;Beau Soleil
Moselle;Behren-lès-Forbach;La Cité
Moselle;Farébersviller, Théding;La Cité*
Moselle;Forbach;Bellevue
Moselle;Forbach;Le Kobenberg
Moselle;Forbach;Le Wiesberg, L'Hommel
Moselle;Hombourg-Haut;La Cité des Chênes
Moselle;Freyming-Merlebach, Hombourg-Haut;La Cité de la Chapelle*
Moselle;Metz;Bellecroix
Moselle;Metz;Borny (Les Hauts de Blémont)
Moselle;Metz;Chemin de la Moselle
